City,Year,Homicide Count
New York,2017,290
New York,2018,289
New York,2019,319
New York,2020,317
New York,2021,377
New Orleans,2019,120
New Orleans,2020,185
New Orleans,2021,219
New Orleans,2022,198
New Orleans,2023,176
Los Angeles,2019,253
Los Angeles,2020,349
Los Angeles,2021,305
Los Angeles,2022,394
Los Angeles,2023,327
